"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif","color_grp"
"DAPL1",0.0400581664257691,0.118976020408163,0.501237691754093,0.616770772004722,0.793115302578724,-6.06471360403356,"NS","NS"
"LOC100996664",-0.0261275449101797,0.160838265306122,-0.501191169138321,0.616803449585043,0.793115302578724,-6.0647360379271,"NS","NS"
"ZNF833P",0.0265592194920504,0.264370918367347,0.501014368473329,0.616927641709406,0.793231415382555,-6.06482127488073,"NS","NS"
"KCND3",0.00297784431137723,0.00903724489795918,0.500962441675112,0.616964119345682,0.793234740347489,-6.06484630348946,"NS","NS"
"MIRLET7F2",-0.00510138344001652,0.0106775510204082,-0.500893950305839,0.617012234750261,0.793253026878872,-6.06487931223014,"NS","NS"
"GRIK1-AS2",-1.36338692958909,17.3923076530612,-0.500813287280317,0.617068902906979,0.79327504743025,-6.06491818120856,"NS","NS"
"FUCA1",1.02604548833368,10.3974464285714,0.500743991954618,0.617117586754098,0.79327504743025,-6.06495156746416,"NS","NS"
"ZBTB20-AS1",-0.0071662192855668,0.0284285714285714,-0.500717773382508,0.617136007211559,0.79327504743025,-6.06496419828289,"NS","NS"
"DUSP26",-0.293252756555854,2.02907806122449,-0.500676597876967,0.617164936494656,0.79327504743025,-6.06498403328529,"NS","NS"
"ADGRV1",-0.0283326657030766,0.0418801020408163,-0.500606590511303,0.617214123977846,0.793294704651372,-6.06501775339357,"NS","NS"
"ENOPH1",0.705842989882317,16.8297897959184,0.500537195594179,0.617262882859852,0.79331380887018,-6.06505117386565,"NS","NS"
"ALX1",-0.00356615734049143,0.00855459183673469,-0.500475080080492,0.617306528463835,0.793326339704373,-6.06508108467058,"NS","NS"
"MRPS5",0.181403014660334,5.28684897959184,0.50031724410163,0.61741743839324,0.793425308603404,-6.06515707159125,"NS","NS"
"ZKSCAN5",-0.161730332438572,3.6428612244898,-0.500186375452368,0.617509405289018,0.793446936797872,-6.06522005751322,"NS","NS"
"NIPAL4",0.254787982655382,0.350117346938775,0.500130597798154,0.617548604425929,0.793446936797872,-6.06524689780963,"NS","NS"
"TMEM192",-0.100428887053481,1.97242704081633,-0.500126161029071,0.617551722523133,0.793446936797872,-6.06524903266183,"NS","NS"
"BSND",-0.00239826553788974,0.00509795918367347,-0.500100336564277,0.617569871721719,0.793446936797872,-6.06526145831462,"NS","NS"
"SFXN1",1.47613066281231,12.6560408163265,0.49988582873377,0.617720634964424,0.793573645222597,-6.06536464578132,"NS","NS"
"PTPRVP",-0.0154744992773076,0.078380612244898,-0.499825183438567,0.617763261439346,0.793573645222597,-6.06539381076368,"NS","NS"
"ST6GALNAC5",0.00973615527565558,0.0204438775510204,0.499800422725517,0.617780665667088,0.793573645222597,-6.06540571744547,"NS","NS"
"VN1R4",0.00241845963245922,0.00322959183673469,0.499767057482886,0.61780411833373,0.793573645222597,-6.06542176085611,"NS","NS"
"MDM2",-3.56221253355363,41.6455219387755,-0.499574552020191,0.617939439460461,0.79362132967386,-6.0655143047108,"NS","NS"
"NPW",1.0326087962007,3.15974897959184,0.499537115922259,0.617965756568594,0.79362132967386,-6.06553229737312,"NS","NS"
"GRIN2D",0.0125820565765022,0.0606066326530612,0.499533121560659,0.617968564583958,0.79362132967386,-6.06553421707714,"NS","NS"
"HEY1",0.0140093330580219,0.0880020408163265,0.499521301744231,0.617976873886182,0.79362132967386,-6.06553989763211,"NS","NS"
"CCDC141",-0.0516898203592813,0.328158163265306,-0.499439548311032,0.618034347699362,0.793651591567188,-6.06557918432454,"NS","NS"
"OR5M3",-0.00324887466446418,0.00408010204081633,-0.499254595334225,0.618164380935912,0.793775022538268,-6.06566803999268,"NS","NS"
"KDM5B",-1.14124020235392,16.6014719387755,-0.499119837280642,0.618259131667376,0.793853136749777,-6.06573276019392,"NS","NS"
"PI15",0.073664959735701,0.0803724489795918,0.49886844821964,0.618435904787533,0.794036554476504,-6.06585344815375,"NS","NS"
"PTS",0.268776915135245,5.38122959183673,0.49875608318314,0.618514925439609,0.79409445035184,-6.06590737324209,"NS","NS"
"MAGEA4",-0.00303435886846996,0.00546632653061224,-0.498442043143272,0.618735797503451,0.794334449046583,-6.06605801990643,"NS","NS"
"ANXA1",2.33239409456946,10.8575397959184,0.498237465604702,0.618879700576262,0.794432049498833,-6.06615610592837,"NS","NS"
"MIR429",0.0103196572372496,0.0241617346938775,0.498237455490399,0.618879707691187,0.794432049498833,-6.06615611077675,"NS","NS"
"LINC01145",0.0988778030146605,0.931475510204082,0.497973449108521,0.619065435714472,0.794530784829216,-6.06628263098606,"NS","NS"
"MAGEA11",0.00339913276894487,0.00557551020408163,0.497902336320738,0.619115467626185,0.794530784829216,-6.06631669904973,"NS","NS"
"LOC100507250",-0.0405424943217015,0.401042346938775,-0.497886814024044,0.619126388685777,0.794530784829216,-6.06632413468437,"NS","NS"
"KATNB1",0.373803964484823,7.45664795918367,0.497884261834158,0.61912818434426,0.794530784829216,-6.06632535723594,"NS","NS"
"MIR1285-1",-0.128209456948172,1.06637755102041,-0.497849919511151,0.619152346986913,0.794530784829216,-6.06634180730862,"NS","NS"
"LRRC32",-1.18058725996284,3.35748112244898,-0.49777513983644,0.619204962059773,0.794530784829216,-6.06637762307544,"NS","NS"
"SETD7",0.724043196365885,12.3189591836735,0.497766233838689,0.619211228461981,0.794530784829216,-6.06638188825043,"NS","NS"
"ZP1",0.0167730951889324,0.0611637755102041,0.497742112059309,0.619228201071127,0.794530784829216,-6.06639344003933,"NS","NS"
"NCCRP1",-0.0449780507949617,0.185414795918367,-0.497543716997531,0.619367803915735,0.794663284296358,-6.06648842917456,"NS","NS"
"GOLGA8S",0.00583722899029527,0.0155045918367347,0.49749885746297,0.619399371733324,0.794663284296358,-6.06650990213691,"NS","NS"
"MGC15885",0.00493047697708032,0.00694234693877551,0.497262161468181,0.619565947275216,0.794824518913318,-6.06662316969284,"NS","NS"
"POMC",-0.349058600041299,2.43303265306122,-0.497223773084504,0.619592965074706,0.794824518913318,-6.06664153485011,"NS","NS"
"SLC66A3",0.49161715878588,6.36611581632653,0.497096494650043,0.619682547523014,0.794853104937175,-6.06670241524878,"NS","NS"
